	0	1	2
0	62.2	2.3	0
1	55.2	-0.1	0
2	46.2	-2.5	0
3	37.5	-2.7	0
4	36.6	-1.9	0
5	41.1	-3.3	0
6	27.7	-3.1	0
7	25.5	-3.8	0
8	20.0	-1.5	0
9	14.8	-1.7	0
10	22.6	-1.5	0
11	14.2	-1.5	0
12	12.6	-0.9	0
13	17.0	1.1	0
14	27.5	2.4	0
15	22.9	1.8	0
16	18.9	2.1	0
17	54.3	4.4	0
18	59.8	6.9	1
19	68.2	4.5	0
20	39.7	3.5	0
21	44.2	3.0	0
22	60.4	5.7	1
23	58.8	3.4	0
24	58.1	2.6	0
25	34.7	3.0	0
26	50.3	3.2	0
27	48.3	0.8	0
28	27.0	0.9	0
29	32.1	0.7	0
30	34.8	-0.4	0
31	29.4	-0.7	0
32	19.9	1.7	0
33	13.3	4.5	0
34	19.6	5.1	1
35	11.7	4.9	0
36	36.7	5.5	1
37	39.5	3.6	0
38	48.2	1.4	0
39	30.8	2.0	0
40	61.4	5.6	1
41	66.6	2.1	0
42	62.2	0.2	0
43	61.2	-0.7	0
44	64.2	-1.0	0
45	68.3	-1.3	0
46	57.3	0.2	0
47	44.4	1.7	0
48	52.6	1.1	0
49	64.9	-0.9	0
50	58.1	0.8	0
51	65.4	4.2	0
52	44.5	2.7	0
53	67.9	4.4	0
54	72.4	4.5	0
55	57.8	3.1	0
56	45.4	4.7	0
57	79.6	8.1	1
58	69.5	7.3	1
59	62.1	7.7	1
60	44.2	8.3	1
61	49.6	7.0	1
62	61.3	6.2	1
63	77.5	3.7	0
64	57.1	2.4	0
65	86.6	3.6	0
66	71.7	4.4	0
67	80.3	5.0	1
68	67.2	4.6	0
69	77.5	6.3	1
70	69.2	4.9	0
71	61.7	8.9	1
72	72.5	9.9	1
73	91.4	10.5	1
74	84.3	9.0	1
75	59.0	9.1	1
76	71.5	9.8	1
77	80.3	8.8	1
78	75.4	3.5	0
79	83.5	2.8	0
80	99.2	5.9	1
81	85.1	7.9	1
82	92.9	5.2	1
83	67.4	4.5	0
84	71.1	7.4	1
85	65.9	10.5	1
86	82.3	8.2	1
87	84.7	6.1	1
88	73.0	6.6	1
89	57.5	7.1	1
90	54.7	9.2	1
91	34.8	9.4	1
92	92.0	12.6	1
93	92.5	13.1	1
94	102.3	14.0	1
95	93.2	14.4	1
96	84.4	13.6	1
97	87.1	13.7	1
98	96.4	14.7	1
99	111.5	15.4	1
100	109.8	16.0	1
101	93.0	15.1	1
102	120.0	15.9	1
103	93.0	16.1	1
104	94.4	15.9	1
105	81.9	11.5	1
106	86.7	10.6	1
107	93.4	12.0	1
108	74.7	11.8	1
109	87.2	14.8	1
110	98.6	16.3	1
111	115.4	17.2	1
112	107.3	14.4	1
113	100.1	10.6	1
114	109.5	14.7	1
115	103.8	15.0	1
116	97.0	11.3	1
117	63.0	9.6	1
118	66.6	8.6	1
119	82.9	10.5	1
120	106.5	13.4	1
121	120.7	15.3	1
122	110.6	14.8	1
123	84.5	13.1	1
124	75.5	11.4	1
125	70.2	15.0	1
126	74.1	17.4	1
127	87.0	17.8	1
128	87.1	18.0	1
129	95.6	17.4	1
130	73.1	18.2	1
131	75.5	18.2	1
132	61.6	17.7	1
133	77.5	17.4	1
134	75.1	14.2	1
135	84.5	15.7	1
136	84.9	17.7	1
137	74.8	15.7	1
138	102.0	17.8	1
139	113.7	20.2	1
140	110.3	22.2	1
141	89.4	22.3	1
142	106.4	22.1	1
143	98.6	25.5	1
144	117.3	25.5	1
145	85.4	19.9	1
146	86.2	14.8	1
147	84.7	17.1	1
148	111.2	17.5	1
149	92.4	14.1	1
150	102.1	16.5	1
151	104.2	17.0	1
152	118.9	19.5	1
153	119.7	20.2	1
154	102.4	18.3	1
155	104.2	17.5	1
156	91.1	16.1	1
157	72.7	15.3	1
158	68.7	16.7	1
159	85.5	16.6	1
160	77.8	17.8	1
161	91.6	18.6	1
162	95.9	18.4	1
163	105.7	20.8	1
164	121.9	22.5	1
165	89.8	21.8	1
166	81.3	20.7	1
167	115.8	20.4	1
168	124.8	24.0	1
169	73.9	20.2	1
170	81.6	16.2	1
171	84.6	15.9	1
172	82.6	14.7	1
173	75.7	14.6	1
174	83.6	17.5	1
175	85.9	20.0	1
176	99.4	20.1	1
177	81.2	19.5	1
178	98.3	21.7	1
179	114.6	23.7	1
180	110.2	23.6	1
181	99.3	23.8	1
182	106.0	23.2	1
183	110.6	24.3	1
184	98.1	22.4	1
185	98.5	22.0	1
186	64.6	22.3	1
187	67.7	17.9	1
188	59.3	17.0	1
189	68.6	17.6	1
190	69.1	17.5	1
191	73.6	18.7	1
192	86.9	21.3	1
193	125.9	25.2	1
194	85.3	25.0	1
195	89.0	24.0	1
196	105.3	26.2	1
197	98.2	19.0	1
198	61.2	15.1	1
199	65.8	17.9	1
200	80.5	21.4	1
201	109.4	23.6	1
202	74.6	23.5	1
203	81.5	23.1	1
204	71.8	20.5	1
205	66.9	19.3	1
206	83.4	20.1	1
207	120.1	21.8	1
208	83.0	21.1	1
209	127.8	22.9	1
210	109.3	22.2	1
211	95.9	20.6	1
212	133.8	23.5	1
213	100.5	20.5	1
214	55.9	18.2	1
215	100.1	20.5	1
216	107.0	21.5	1
217	125.1	23.8	1
218	120.9	24.2	1
219	109.1	21.7	1
220	93.0	22.1	1
221	84.3	21.1	1
222	90.0	22.4	1
223	80.4	22.7	1
224	84.1	23.6	1
225	68.2	24.0	1
226	97.8	24.8	1
227	121.8	25.2	1
228	134.5	24.8	1
229	118.2	26.3	1
230	120.3	26.9	1
231	126.0	27.7	1
232	92.6	24.8	1
233	89.7	22.1	1
234	88.5	20.4	1
235	116.0	24.6	1
236	100.3	21.5	1
237	84.3	21.7	1
238	112.9	23.6	1
239	86.2	22.6	1
240	77.6	18.4	1
241	81.8	18.0	1
242	87.5	20.3	1
243	97.9	23.0	1
244	74.8	21.3	1
245	64.1	21.2	1
246	60.3	17.0	1
247	70.6	14.7	1
248	69.0	16.0	1
249	71.0	17.9	1
250	84.2	19.3	1
251	100.4	20.2	1
252	120.1	19.8	1
253	95.7	18.0	1
254	70.9	17.3	1
255	79.6	17.1	1
256	76.9	14.4	1
257	46.6	14.3	1
258	27.6	16.3	1
259	65.4	18.7	1
260	56.7	19.2	1
261	77.0	18.7	1
262	68.2	18.5	1
263	95.4	20.0	1
264	79.7	20.2	1
265	69.5	19.8	1
266	99.0	19.5	1
267	84.7	18.4	1
268	57.8	17.6	1
269	81.8	18.8	1
270	60.3	18.9	1
271	81.8	18.7	1
272	80.1	17.6	1
273	93.3	18.1	1
274	69.1	16.0	1
275	67.2	14.7	1
276	78.7	16.1	1
277	49.4	15.6	1
278	48.3	19.2	1
279	82.7	20.7	1
280	82.3	18.4	1
281	45.5	17.8	1
282	47.7	17.0	1
283	64.6	15.0	1
284	66.7	11.9	1
285	63.6	9.7	1
286	64.3	7.3	1
287	50.0	3.7	0
288	47.5	6.6	1
289	54.0	6.8	1
290	59.7	5.9	1
291	32.2	5.8	1
292	20.4	7.9	1
293	21.9	10.9	1
294	34.7	13.3	1
295	48.4	12.2	1
296	34.3	10.6	1
297	29.9	13.7	1
298	55.1	13.8	1
299	42.9	11.6	1
300	21.1	11.5	1
301	19.0	11.9	1
302	20.3	10.1	1
303	24.0	10.5	1
304	49.8	11.4	1
305	53.5	10.4	1
306	52.3	8.6	1
307	56.1	10.1	1
308	60.4	8.5	1
309	43.0	8.2	1
310	41.8	7.2	1
311	46.4	6.5	1
312	42.7	6.4	1
313	24.3	6.4	1
314	34.5	6.5	1
315	33.1	7.5	1
316	26.7	11.4	1
317	38.0	12.2	1
318	49.7	11.7	1
319	36.8	13.2	1
320	31.2	13.9	1
321	48.0	14.2	1
322	13.6	11.3	1
323	10.3	10.4	1
324	7.8	8.8	1
325	64.3	11.1	1
326	73.5	10.4	1
327	69.8	11.2	1
328	50.6	10.3	1
329	69.3	10.8	1
330	51.9	9.2	1
331	50.2	9.1	1
332	49.7	9.3	1
333	71.6	4.9	0
334	53.0	5.0	1
335	35.6	4.6	0
336	48.5	5.7	1
337	68.3	5.2	1
338	42.1	4.1	0
339	40.5	7.5	1
340	45.8	9.6	1
341	72.2	7.5	1
342	42.4	6.0	1
343	50.2	5.9	1
344	59.3	6.1	1
345	34.6	2.6	0
346	42.4	0.5	0
347	28.0	-0.7	0
348	24.2	-2.2	0
349	24.1	-2.6	0
350	31.6	-2.3	0
351	23.1	-2.6	0
352	39.5	-5.5	0
353	41.0	-4.6	0
354	53.2	1.8	0
355	53.7	6.6	1
356	58.8	5.3	1
357	25.1	4.7	0
358	62.8	6.1	1
359	56.4	1.6	0
360	47.9	2.8	0
361	48.8	3.5	0
362	27.4	6.2	1
363	49.2	9.2	1
364	42.7	7.6	1
