	0	1	2
0	62.2	2.3	1
1	55.2	-0.1	0
2	46.2	-2.5	0
3	37.5	-2.7	0
4	36.6	-1.9	0
5	41.1	-3.3	0
6	27.7	-3.1	0
7	25.5	-3.8	0
8	20.0	-1.5	0
9	14.8	-1.7	0
10	22.6	-1.5	0
11	14.2	-1.5	0
12	12.6	-0.9	0
13	17.0	1.1	1
14	27.5	2.4	1
15	22.9	1.8	1
16	18.9	2.1	1
17	54.3	4.4	1
18	59.8	6.9	3
19	68.2	4.5	1
20	39.7	3.5	1
21	44.2	3.0	1
22	60.4	5.7	3
23	58.8	3.4	1
24	58.1	2.6	1
25	34.7	3.0	1
26	50.3	3.2	1
27	48.3	0.8	1
28	27.0	0.9	1
29	32.1	0.7	1
30	34.8	-0.4	0
31	29.4	-0.7	0
32	19.9	1.7	1
33	13.3	4.5	1
34	19.6	5.1	3
35	11.7	4.9	3
36	36.7	5.5	3
37	39.5	3.6	1
38	48.2	1.4	1
39	30.8	2.0	1
40	61.4	5.6	3
41	66.6	2.1	1
42	62.2	0.2	0
43	61.2	-0.7	0
44	64.2	-1.0	0
45	68.3	-1.3	0
46	57.3	0.2	0
47	44.4	1.7	1
48	52.6	1.1	1
49	64.9	-0.9	0
50	58.1	0.8	1
51	65.4	4.2	1
52	44.5	2.7	1
53	67.9	4.4	1
54	72.4	4.5	1
55	57.8	3.1	1
56	45.4	4.7	1
57	79.6	8.1	3
58	69.5	7.3	3
59	62.1	7.7	3
60	44.2	8.3	3
61	49.6	7.0	3
62	61.3	6.2	3
63	77.5	3.7	1
64	57.1	2.4	1
65	86.6	3.6	1
66	71.7	4.4	1
67	80.3	5.0	3
68	67.2	4.6	1
69	77.5	6.3	3
70	69.2	4.9	3
71	61.7	8.9	3
72	72.5	9.9	2
73	91.4	10.5	2
74	84.3	9.0	3
75	59.0	9.1	3
76	71.5	9.8	2
77	80.3	8.8	3
78	75.4	3.5	1
79	83.5	2.8	1
80	99.2	5.9	3
81	85.1	7.9	3
82	92.9	5.2	3
83	67.4	4.5	1
84	71.1	7.4	3
85	65.9	10.5	2
86	82.3	8.2	3
87	84.7	6.1	3
88	73.0	6.6	3
89	57.5	7.1	3
90	54.7	9.2	3
91	34.8	9.4	2
92	92.0	12.6	2
93	92.5	13.1	2
94	102.3	14.0	2
95	93.2	14.4	2
96	84.4	13.6	2
97	87.1	13.7	2
98	96.4	14.7	2
99	111.5	15.4	2
100	109.8	16.0	2
101	93.0	15.1	2
102	120.0	15.9	2
103	93.0	16.1	2
104	94.4	15.9	2
105	81.9	11.5	2
106	86.7	10.6	2
107	93.4	12.0	2
108	74.7	11.8	2
109	87.2	14.8	2
110	98.6	16.3	2
111	115.4	17.2	2
112	107.3	14.4	2
113	100.1	10.6	2
114	109.5	14.7	2
115	103.8	15.0	2
116	97.0	11.3	2
117	63.0	9.6	2
118	66.6	8.6	3
119	82.9	10.5	2
120	106.5	13.4	2
121	120.7	15.3	2
122	110.6	14.8	2
123	84.5	13.1	2
124	75.5	11.4	2
125	70.2	15.0	2
126	74.1	17.4	2
127	87.0	17.8	2
128	87.1	18.0	2
129	95.6	17.4	2
130	73.1	18.2	2
131	75.5	18.2	2
132	61.6	17.7	2
133	77.5	17.4	2
134	75.1	14.2	2
135	84.5	15.7	2
136	84.9	17.7	2
137	74.8	15.7	2
138	102.0	17.8	2
139	113.7	20.2	2
140	110.3	22.2	2
141	89.4	22.3	2
142	106.4	22.1	2
143	98.6	25.5	2
144	117.3	25.5	2
145	85.4	19.9	2
146	86.2	14.8	2
147	84.7	17.1	2
148	111.2	17.5	2
149	92.4	14.1	2
150	102.1	16.5	2
151	104.2	17.0	2
152	118.9	19.5	2
153	119.7	20.2	2
154	102.4	18.3	2
155	104.2	17.5	2
156	91.1	16.1	2
157	72.7	15.3	2
158	68.7	16.7	2
159	85.5	16.6	2
160	77.8	17.8	2
161	91.6	18.6	2
162	95.9	18.4	2
163	105.7	20.8	2
164	121.9	22.5	2
165	89.8	21.8	2
