X	MSS_KCI_F1	MSS_KCI_F1_std	MSS_KCI_F1_cnf	Pooled_PC_KCI_F1	Pooled_PC_KCI_F1_std	Pooled_PC_KCI_F1_cnf	MC_F1	MC_F1_std	MC_F1_cnf	LINC_rff_F1	LINC_rff_F1_std	LINC_rff_F1_cnf	LINC_gp_F1	LINC_gp_F1_std	LINC_gp_F1_cnf
1	0.519	0.365	0.053	0.519	0.365	0.053	0.519	0.365	0.053	na	na	na	na	na	na
2	0.87	0.175	0.026	0.866	0.181	0.026	0.829	0.217	0.032	na	na	na	na	na	na
3	0.93	0.145	0.021	0.837	0.209	0.031	0.884	0.15	0.022	0.885	0.168	0.052	0.893	0.142	0.072
4	0.951	0.139	0.05	0.78	0.199	0.071	0.893	0.155	0.056	0.852	0.175	0.054	na	na	na
5	0.983	0.054	0.019	0.723	0.257	0.092	0.932	0.125	0.045	0.91	0.164	0.051	1.0	0.0	0.0
6	0.983	0.054	0.019	0.707	0.263	0.094	0.967	0.076	0.027	na	na	na	na	na	na
7	0.99	0.041	0.015	0.708	0.264	0.095	0.961	0.081	0.029	na	na	na	na	na	na
8	0.983	0.054	0.019	0.68	0.255	0.091	0.967	0.076	0.027	0.876	0.191	0.067	1.0	0.0	0.0
9	0.987	0.051	0.018	0.689	0.246	0.088	0.97	0.07	0.025	na	na	na	na	na	na
10	0.987	0.051	0.018	0.659	0.284	0.102	0.974	0.066	0.024	0.888	0.181	0.065	1.0	0.0	0.0
11	0.987	0.051	0.018	0.697	0.248	0.089	0.976	0.064	0.023	na	na	na	na	na	na
12	0.987	0.051	0.018	0.663	0.271	0.097	0.981	0.058	0.021	na	na	na	na	na	na
13	0.993	0.037	0.013	0.64	0.306	0.109	0.987	0.051	0.018	na	na	na	na	na	na
14	1.0	0.0	0.0	0.644	0.297	0.106	0.993	0.037	0.013	na	na	na	na	na	na
15	1.0	0.0	0.0	0.639	0.294	0.105	1.0	0.0	0.0	0.877	0.177	0.063	1.0	0.0	0.0
