X	MSS_KCI_Precision	MSS_KCI_Precision_std	MSS_KCI_Precision_cnf	Pooled_PC_KCI_Precision	Pooled_PC_KCI_Precision_std	Pooled_PC_KCI_Precision_cnf	MC_Precision	MC_Precision_std	MC_Precision_cnf	LINC_rff_Precision	LINC_rff_Precision_std	LINC_rff_Precision_cnf	LINC_gp_Precision	LINC_gp_Precision_std	LINC_gp_Precision_cnf
1	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	na	na	na	na	na	na
2	0.876	0.173	0.025	0.879	0.178	0.026	0.832	0.217	0.032	na	na	na	na	na	na
3	0.93	0.145	0.021	0.929	0.145	0.021	0.884	0.15	0.022	0.885	0.168	0.052	0.893	0.142	0.072
4	0.951	0.139	0.05	0.867	0.188	0.067	0.893	0.155	0.056	0.852	0.175	0.054	na	na	na
5	0.983	0.054	0.019	0.849	0.237	0.085	0.932	0.125	0.045	0.91	0.164	0.051	1.0	0.0	0.0
6	0.983	0.054	0.019	0.861	0.245	0.088	0.967	0.076	0.027	na	na	na	na	na	na
7	0.99	0.041	0.015	0.836	0.249	0.089	0.961	0.081	0.029	na	na	na	na	na	na
8	0.983	0.054	0.019	0.845	0.248	0.089	0.967	0.076	0.027	0.876	0.191	0.067	1.0	0.0	0.0
9	0.987	0.051	0.018	0.871	0.222	0.08	0.97	0.07	0.025	na	na	na	na	na	na
10	0.987	0.051	0.018	0.829	0.289	0.104	0.974	0.066	0.024	0.888	0.181	0.065	1.0	0.0	0.0
11	0.987	0.051	0.018	0.822	0.292	0.105	0.976	0.064	0.023	na	na	na	na	na	na
12	0.987	0.051	0.018	0.863	0.248	0.089	0.981	0.058	0.021	na	na	na	na	na	na
13	0.993	0.037	0.013	0.856	0.248	0.089	0.987	0.051	0.018	na	na	na	na	na	na
14	1.0	0.0	0.0	0.816	0.289	0.103	0.993	0.037	0.013	na	na	na	na	na	na
15	1.0	0.0	0.0	0.823	0.288	0.103	1.0	0.0	0.0	0.877	0.177	0.063	1.0	0.0	0.0
