X	MSS_KCI_Recall	MSS_KCI_Recall_std	MSS_KCI_Recall_cnf	Pooled_PC_KCI_Recall	Pooled_PC_KCI_Recall_std	Pooled_PC_KCI_Recall_cnf	MC_Recall	MC_Recall_std	MC_Recall_cnf	LINC_rff_Recall	LINC_rff_Recall_std	LINC_rff_Recall_cnf	LINC_gp_Recall	LINC_gp_Recall_std	LINC_gp_Recall_cnf
1	0.428	0.318	0.046	0.428	0.318	0.046	0.428	0.318	0.046	na	na	na	na	na	na
2	0.866	0.179	0.026	0.858	0.189	0.028	0.826	0.217	0.032	na	na	na	na	na	na
3	0.93	0.145	0.021	0.797	0.243	0.035	0.884	0.15	0.022	0.885	0.168	0.052	0.893	0.142	0.072
4	0.951	0.139	0.05	0.734	0.225	0.08	0.893	0.155	0.056	0.852	0.175	0.054	na	na	na
5	0.983	0.054	0.019	0.668	0.261	0.093	0.932	0.125	0.045	0.91	0.164	0.051	1.0	0.0	0.0
6	0.983	0.054	0.019	0.637	0.264	0.095	0.967	0.076	0.027	na	na	na	na	na	na
7	0.99	0.041	0.015	0.647	0.262	0.094	0.961	0.081	0.029	na	na	na	na	na	na
8	0.983	0.054	0.019	0.608	0.258	0.092	0.967	0.076	0.027	0.876	0.191	0.067	1.0	0.0	0.0
9	0.987	0.051	0.018	0.611	0.247	0.089	0.97	0.07	0.025	na	na	na	na	na	na
10	0.987	0.051	0.018	0.59	0.279	0.1	0.974	0.066	0.024	0.888	0.181	0.065	1.0	0.0	0.0
11	0.987	0.051	0.018	0.624	0.242	0.087	0.976	0.064	0.023	na	na	na	na	na	na
12	0.987	0.051	0.018	0.582	0.251	0.09	0.981	0.058	0.021	na	na	na	na	na	na
13	0.993	0.037	0.013	0.575	0.284	0.102	0.987	0.051	0.018	na	na	na	na	na	na
14	1.0	0.0	0.0	0.58	0.278	0.099	0.993	0.037	0.013	na	na	na	na	na	na
15	1.0	0.0	0.0	0.567	0.271	0.097	1.0	0.0	0.0	0.877	0.177	0.063	1.0	0.0	0.0
