X	Pooled_PC_KCI_F1	Pooled_PC_KCI_F1_std	Pooled_PC_KCI_F1_cnf	MC_F1	MC_F1_std	MC_F1_cnf	MSS_KCI_F1	MSS_KCI_F1_std	MSS_KCI_F1_cnf	LINC_rff_F1	LINC_rff_F1_std	LINC_rff_F1_cnf	LINC_gp_F1	LINC_gp_F1_std	LINC_gp_F1_cnf
1	0.36	0.403	0.123	0.335	0.396	0.124	0.335	0.396	0.124	0.45	0.51	0.224	0.55	0.51	0.224
2	0.36	0.403	0.123	0.366	0.413	0.13	0.653	0.357	0.112	0.4	0.503	0.22	0.5	0.513	0.225
3	0.432	0.423	0.13	0.413	0.408	0.128	0.258	0.395	0.124	1.0	0.0	0.0	1.0	0.0	0.0
4	0.551	0.403	0.142	0.554	0.387	0.141	0.26	0.402	0.146	0.975	0.112	0.049	1.0	0.0	0.0
5	0.525	0.407	0.143	0.551	0.39	0.142	0.129	0.328	0.119	0.854	0.213	0.093	0.742	0.335	0.147
6	0.741	0.273	0.117	0.736	0.279	0.125	0.148	0.352	0.158	0.844	0.226	0.099	0.85	0.225	0.139
7	0.715	0.267	0.114	0.726	0.252	0.113	0.1	0.299	0.134	0.868	0.164	0.072	0.705	0.203	0.126
8	0.702	0.275	0.121	0.73	0.246	0.111	0.096	0.289	0.13	0.809	0.128	0.056	0.812	0.155	0.068
9	0.799	0.159	0.098	0.816	0.098	0.064	0.096	0.289	0.189	0.808	0.148	0.065	0.829	0.136	0.084
10	0.799	0.159	0.098	0.815	0.088	0.058	0.096	0.289	0.189	0.854	0.122	0.053	0.877	0.09	0.04
11	0.89	0.055	0.048	0.858	0.069	0.067	0.0	0.0	0.0	na	na	na	na	na	na
12	0.888	0.058	0.051	0.862	0.068	0.066	0.0	0.0	0.0	na	na	na	na	na	na
13	0.888	0.058	0.051	0.859	0.064	0.063	0.0	0.0	0.0	na	na	na	na	na	na
14	0.875	0.057	0.056	0.891	0.023	0.023	0.0	0.0	0.0	na	na	na	na	na	na
15	0.875	0.057	0.056	0.9	0.018	0.017	0.0	0.0	0.0	0.93	0.074	0.046	0.944	0.062	0.038
