X	Pooled_PC_KCI_Precision	Pooled_PC_KCI_Precision_std	Pooled_PC_KCI_Precision_cnf	MC_Precision	MC_Precision_std	MC_Precision_cnf	MSS_KCI_Precision	MSS_KCI_Precision_std	MSS_KCI_Precision_cnf	LINC_rff_Precision	LINC_rff_Precision_std	LINC_rff_Precision_cnf	LINC_gp_Precision	LINC_gp_Precision_std	LINC_gp_Precision_cnf
1	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.45	0.51	0.224	0.55	0.51	0.224
2	1.0	0.0	0.0	0.997	0.016	0.005	0.653	0.357	0.112	0.4	0.503	0.22	0.5	0.513	0.225
3	0.779	0.392	0.12	0.561	0.45	0.141	0.95	0.093	0.029	1.0	0.0	0.0	1.0	0.0	0.0
4	0.919	0.192	0.067	0.674	0.401	0.146	0.95	0.107	0.039	0.975	0.112	0.049	1.0	0.0	0.0
5	0.988	0.031	0.011	0.641	0.386	0.14	0.991	0.027	0.01	0.854	0.213	0.093	0.742	0.335	0.147
6	0.968	0.052	0.022	0.742	0.28	0.126	0.99	0.024	0.011	0.844	0.226	0.099	0.85	0.225	0.139
7	0.982	0.045	0.019	0.726	0.252	0.113	0.994	0.017	0.008	0.868	0.164	0.072	0.705	0.203	0.126
8	0.994	0.016	0.007	0.738	0.253	0.114	0.991	0.031	0.014	0.809	0.128	0.056	0.812	0.155	0.068
9	0.991	0.019	0.012	0.816	0.098	0.064	0.985	0.044	0.029	0.808	0.148	0.065	0.829	0.136	0.084
10	0.995	0.017	0.01	0.815	0.088	0.058	0.985	0.044	0.029	0.854	0.122	0.053	0.877	0.09	0.04
11	0.982	0.025	0.022	0.858	0.069	0.067	1.0	0.0	0.0	na	na	na	na	na	na
12	1.0	0.0	0.0	0.867	0.068	0.067	1.0	0.0	0.0	na	na	na	na	na	na
13	1.0	0.0	0.0	0.869	0.078	0.076	1.0	0.0	0.0	na	na	na	na	na	na
14	1.0	0.0	0.0	0.915	0.049	0.048	1.0	0.0	0.0	na	na	na	na	na	na
15	1.0	0.0	0.0	0.915	0.033	0.032	1.0	0.0	0.0	0.93	0.074	0.046	0.944	0.062	0.038
