X	Pooled_PC_KCI_RT	Pooled_PC_KCI_RT_std	Pooled_PC_KCI_RT_cnf	MC_RT	MC_RT_std	MC_RT_cnf	MSS_KCI_RT	MSS_KCI_RT_std	MSS_KCI_RT_cnf	LINC_rff_RT	LINC_rff_RT_std	LINC_rff_RT_cnf	LINC_gp_RT	LINC_gp_RT_std	LINC_gp_RT_cnf
1	0.001	0.0	0.0	0.004	0.008	0.003	0.001	0.0	0.0	0.081	0.021	0.009	31.339	8.854	3.881
2	9.95	6.092	1.865	3.861	0.946	0.297	6.826	7.691	2.414	0.439	0.117	0.051	56.247	13.544	5.936
3	48.902	35.159	10.762	11.428	2.542	0.798	19.751	18.785	5.896	0.261	0.019	0.008	19.702	2.399	1.051
4	187.105	120.263	42.336	24.011	5.11	1.86	48.434	35.984	13.097	1.548	0.684	0.3	73.105	14.999	9.296
5	491.749	324.237	114.14	40.506	8.632	3.142	80.033	59.2	21.547	1.425	0.797	0.349	71.164	26.725	11.713
6	1447.12	630.817	269.805	69.22	10.63	4.78	161.018	78.686	35.382	6.155	3.392	1.487	198.597	77.01	47.731
7	2921.681	1267.611	542.166	99.653	15.919	7.158	225.474	110.006	49.465	10.945	4.322	1.894	170.418	28.183	17.468
8	10433.804	22082.586	9678.12	136.749	22.591	10.158	302.781	148.56	66.801	10.753	3.487	1.528	339.953	105.442	46.212
9	11529.526	3532.084	2189.208	182.868	21.244	13.88	451.785	221.801	144.91	36.041	10.935	4.792	382.139	94.872	58.802
10	18871.019	5674.878	3517.326	236.187	29.049	18.979	564.581	279.437	182.565	35.135	16.789	7.358	864.726	496.624	217.655
11	29297.791	7745.369	6789.116	303.502	49.562	48.571	851.898	409.944	401.745	0	0	0	0	0	0
12	44721.852	10619.345	9308.266	377.864	63.875	62.598	1008.953	466.31	456.984	0	0	0	0	0	0
13	66158.777	13675.173	11986.817	463.084	80.53	78.92	1177.077	527.754	517.199	0	0	0	0	0	0
14	97385.879	19718.272	19323.907	559.49	99.51	97.52	1357.227	592.975	581.115	0	0	0	0	0	0
15	136018.667	26540.601	26009.789	667.579	121.159	118.736	1535.115	651.746	638.711	267.582	47.863	29.666	2234.568	364.052	225.642
