X	Pooled_PC_KCI_Recall	Pooled_PC_KCI_Recall_std	Pooled_PC_KCI_Recall_cnf	MC_Recall	MC_Recall_std	MC_Recall_cnf	MSS_KCI_Recall	MSS_KCI_Recall_std	MSS_KCI_Recall_cnf	LINC_rff_Recall	LINC_rff_Recall_std	LINC_rff_Recall_cnf	LINC_gp_Recall	LINC_gp_Recall_std	LINC_gp_Recall_cnf
1	0.303	0.351	0.107	0.28	0.342	0.107	0.28	0.342	0.107	0.45	0.51	0.224	0.55	0.51	0.224
2	0.303	0.351	0.107	0.317	0.372	0.117	0.653	0.357	0.112	0.4	0.503	0.22	0.5	0.513	0.225
3	0.393	0.402	0.123	0.386	0.389	0.122	0.258	0.395	0.124	1.0	0.0	0.0	1.0	0.0	0.0
4	0.506	0.385	0.135	0.523	0.374	0.136	0.26	0.402	0.146	0.975	0.112	0.049	1.0	0.0	0.0
5	0.461	0.371	0.131	0.539	0.385	0.14	0.129	0.328	0.119	0.854	0.213	0.093	0.742	0.335	0.147
6	0.665	0.274	0.117	0.731	0.279	0.125	0.148	0.352	0.158	0.844	0.226	0.099	0.85	0.225	0.139
7	0.618	0.264	0.113	0.726	0.252	0.113	0.1	0.299	0.134	0.868	0.164	0.072	0.705	0.203	0.126
8	0.598	0.272	0.119	0.723	0.245	0.11	0.096	0.289	0.13	0.809	0.128	0.056	0.812	0.155	0.068
9	0.694	0.202	0.125	0.816	0.098	0.064	0.096	0.289	0.189	0.808	0.148	0.065	0.829	0.136	0.084
10	0.691	0.199	0.123	0.815	0.088	0.058	0.096	0.289	0.189	0.854	0.122	0.053	0.877	0.09	0.04
11	0.817	0.086	0.076	0.858	0.069	0.067	0.0	0.0	0.0	na	na	na	na	na	na
12	0.803	0.092	0.08	0.858	0.069	0.067	0.0	0.0	0.0	na	na	na	na	na	na
13	0.803	0.092	0.08	0.85	0.054	0.053	0.0	0.0	0.0	na	na	na	na	na	na
14	0.781	0.09	0.088	0.869	0.017	0.017	0.0	0.0	0.0	na	na	na	na	na	na
15	0.781	0.09	0.088	0.887	0.033	0.032	0.0	0.0	0.0	0.93	0.074	0.046	0.944	0.062	0.038
